JOBID    PARTITION  NAME                                   USER              TIME_LEFT    TIME_LIMIT   START_TIME           ST  NODES  CPUS  NODELIST(REASON)
2012936  mid        front128                               akozhabergenov18  14:01:54     1-00:00:00   2020-11-26T10:07:59  R   1      17    ai02
2012843  mid        lammps_tst                             szarepakzad18     13:01:36     1-00:00:00   2020-11-26T09:07:41  R   1      10    be06
2012842  mid        lammps_tst                             szarepakzad18     12:12:26     1-00:00:00   2020-11-26T08:18:31  R   1      10    be03
2012841  mid        lammps_tst                             szarepakzad18     5:58:05      1-00:00:00   2020-11-26T02:04:10  R   1      10    be11
2012814  cosmos     min19                                  hgulbalkan14      29-23:51:38  30-23:00:00  2020-11-25T20:57:43  R   1      1     ke02
2012311  longer     Nicht_Erhaltener_fahrweg_all_config1   ycan              28-19:12:24  30-00:00:00  2020-11-25T15:18:29  R   1      4     rk01
2012310  longer     Nicht_Erhaltener_fahrweg_unet_config1  ycan              28-19:10:23  30-00:00:00  2020-11-25T15:16:28  R   1      4     rk01
2012309  longer     Erhaltener_fahrweg_all_config1         ycan              28-18:59:50  30-00:00:00  2020-11-25T15:05:55  R   1      4     rk01
2012308  longer     Erhaltener_fahrweg_unet_config1        ycan              28-18:58:19  30-00:00:00  2020-11-25T15:04:24  R   1      4     rk01
2012305  longer     Normalspurige_eisenbahn_all_config1    ycan              28-18:47:15  30-00:00:00  2020-11-25T14:53:20  R   1      4     rk01
2012302  longer     Normalspurige_eisenbahn_unet_config1   ycan              28-18:16:17  30-00:00:00  2020-11-25T14:22:22  R   1      4     rk01
2012300  longer     Hauptstrasse_unet_config1              ycan              28-18:13:04  30-00:00:00  2020-11-25T14:19:09  R   1      4     buyukliman
2012299  longer     Hauptstrasse_all_config1               ycan              28-18:11:55  30-00:00:00  2020-11-25T14:18:00  R   1      4     buyukliman
2012297  longer     Fussweg_all_config1                    ycan              28-18:07:15  30-00:00:00  2020-11-25T14:13:20  R   1      4     buyukliman
2012295  longer     Fussweg_unet_config1                   ycan              28-18:01:34  30-00:00:00  2020-11-25T14:07:39  R   1      4     buyukliman
2012293  ai         svg_lp_ssim_train                      kakan20           2-09:27:43   3-15:31:00   2020-11-25T14:02:48  R   1      20    ai13
2012292  ai         svg_lp_l1_train                        kakan20           2-09:27:38   3-15:31:00   2020-11-25T14:02:43  R   1      20    ai11
2011838  long       unknown4tosr_rcan                      ckorkmaz14        5-15:14:35   7-00:00:00   2020-11-25T11:20:40  R   1      1     ai02
2011837  long       unknown4tosr_edsr                      ckorkmaz14        5-15:01:04   7-00:00:00   2020-11-25T11:07:09  R   1      1     ai02
2011826  cosmos     min5                                   hgulbalkan14      29-13:21:04  30-23:00:00  2020-11-25T10:27:09  R   1      1     ke01
2011823  cosmos     MILC2                                  phaslak           25-14:15:51  27-00:00:00  2020-11-25T10:21:56  R   1      1     ke01
2011822  cosmos     b3lypethy                              phaslak           15-14:12:19  17-00:00:00  2020-11-25T10:18:24  R   1      1     ke01
2011735  cosmos     16290N3_ddec                           oaltundal19       26-04:44:08  28-00:00:00  2020-11-25T00:50:13  R   1      1     ke06
2011659  cosmos     OFAlele                                oaltundal19       26-04:43:06  28-00:00:00  2020-11-25T00:49:11  R   1      1     ke02
2011657  cosmos     OFAlele                                oaltundal19       26-04:42:58  28-00:00:00  2020-11-25T00:49:03  R   1      1     ke01
2011656  cosmos     OFAlele                                oaltundal19       26-04:42:54  28-00:00:00  2020-11-25T00:48:59  R   1      1     ke01
2011600  cosmos     min2                                   hgulbalkan14      29-00:47:03  30-23:00:00  2020-11-24T21:53:08  R   1      1     ke01
2011599  cosmos     min3                                   hgulbalkan14      29-00:44:37  30-23:00:00  2020-11-24T21:50:42  R   1      1     ke01
2011589  long       rcan_unknown4tobic4                    ckorkmaz14        5-00:31:49   7-00:00:00   2020-11-24T20:37:54  R   1      1     it03
2011581  cosmos     model                                  phaslak           25-00:05:05  27-00:00:00  2020-11-24T20:11:10  R   1      1     ke02
2011580  cosmos     CuBTC                                  phaslak           25-00:03:33  27-00:00:00  2020-11-24T20:09:38  R   1      1     ke01
2011356  ai         bash                                   shamdan17         27-20:43:18  30-00:00:00  2020-11-24T16:49:23  R   1      10    ai09
2011170  ai         SketchFormerPreProcessing              edede19           4-14:38:22   6-23:00:00   2020-11-24T11:44:27  R   1      12    ai04
2011132  long       WH4toSR                                ckorkmaz14        4-14:55:52   7-00:00:00   2020-11-24T11:01:57  R   1      1     ai02
2010756  ai         bash                                   usert17           27-04:03:51  30-00:00:00  2020-11-24T00:09:56  R   1      2     ai05
2010277  cosmos     cubtcTS                                phaslak           6-18:53:34   10-00:00:00  2020-11-23T14:59:39  R   1      1     ke04
2010265  cosbi      build                                  zabali16          UNLIMITED    UNLIMITED    2020-11-23T14:40:49  R   1      3     ag01
2010224  cosmos     MIL+IL                                 phaslak           23-14:54:24  27-00:00:00  2020-11-23T11:00:29  R   1      1     ke05
2009503  cosmos     CAXZOS_clean                           hdaglar17         26-03:35:12  30-00:00:00  2020-11-22T23:41:17  R   1      1     ke03
2006033  cosbi      JupyterNotebook                        zabali16          UNLIMITED    UNLIMITED    2020-11-22T12:17:00  R   1      2     ag01
2003318  cosmos     CUbtcPF3S-2                            phaslak           20-17:00:43  27-00:00:00  2020-11-20T13:06:48  R   1      1     ke03
2002944  cosmos     H2_MMM                                 hdaglar17         23-03:40:43  30-00:00:00  2020-11-19T23:46:48  R   1      1     ke02
2002943  cosmos     H2_MMM                                 hdaglar17         23-03:40:30  30-00:00:00  2020-11-19T23:46:35  R   1      1     ke02
2002942  cosmos     H2_MMM                                 hdaglar17         23-03:40:16  30-00:00:00  2020-11-19T23:46:21  R   1      1     ke02
2001236  ai         bash                                   usert17           20-01:10:40  30-00:00:00  2020-11-16T21:16:45  R   1      2     ai04
1992608  biyofiz    bash                                   akabakcioglu      UNLIMITED    UNLIMITED    2020-11-07T14:19:19  R   1      1     da04
